Tag;英語;;;;;;;;;;X
STRAT_RESOURCE_EXPLANATION;主要陣營的成員如果存在於世界的相同部分，可以分享陣營內的戰略資源。陣營領袖可以從立場接近的國家那裏以相同的方式獲取資源。;;;;;;;;;;X
CONFIRM_REMOVEAll_TITLE;所有將領卸任;;;;;;;;;;X
CONFIRM_REMOVEALL_DESC;這將使所有將領從他們所在的部隊卸任。請注意這是不可逆的。;;;;;;;;;;X
REMOVE_ALL_LEADER;全部卸任;;;;;;;;;;X
GIESWAPOTHER_SETUP;當他國組建了傀儡政府。;;;;;;;;;;X
GIESWAPOTHER_HEADER;$minister_of_security$報告;;;;;;;;;;X
GIESWAPOTHER_1;政府重建;;;;;;;;;;X
GIESWAPOTHER_2;$VICTIM$現在已經成爲$FACTION$的傀儡。;;;;;;;;;;X
GIESWAPOTHER_3;$BOSS$已經在$CAPITAL$組建了一個忠誠的$GOVERNMENT$政府。;;;;;;;;;;X
GIESWAPOTHER_4;*;;;;;;;;;;X
GIESWAPOTHER_5;*;;;;;;;;;;X
GIESWAPOTHER_6;*;;;;;;;;;;X
GIESWAPOTHER_LOG;$BOSS$已經將$VICTIM$變爲$FACTION$新的傀儡。;;;;;;;;;;X
GIESWAPOTHER_BTN1;好的;;;;;;;;;;X
GIESWAPOTHER_BTN2;好的;;;;;;;;;;X
GIESWAPOTHER_BTN3;查看;;;;;;;;;;X
GIESWAPOTHER_MAP;傀儡建立！;;;;;;;;;;X
GIESWAP_SETUP;當我國組建了傀儡政府。;;;;;;;;;;X
GIESWAP_HEADER;$minister_of_security$報告;;;;;;;;;;X
GIESWAP_1;政府重建;;;;;;;;;;X
GIESWAP_2;$VICTIM$現在已經成爲$FACTION$的傀儡。;;;;;;;;;;X
GIESWAP_3;我們已經在$CAPITAL$組建了一個忠誠的$GOVERNMENT$政府。;;;;;;;;;;X
GIESWAP_4;*;;;;;;;;;;X
GIESWAP_5;*;;;;;;;;;;X
GIESWAP_6;*;;;;;;;;;;X
GIESWAP_LOG;我們已經將$VICTIM$變爲$FACTION$新的傀儡。;;;;;;;;;;X
GIESWAP_BTN1;好的;;;;;;;;;;X
GIESWAP_BTN2;好的;;;;;;;;;;X
GIESWAP_BTN3;查看;;;;;;;;;;X
GIESWAP_MAP;傀儡建立！;;;;;;;;;;X
GIESWAPFORUS_SETUP;當我國的流亡政府成爲傀儡;;;;;;;;;;X
GIESWAPFORUS_HEADER;$minister_of_security$報告;;;;;;;;;;X
GIESWAPFORUS_1;政府重建;;;;;;;;;;X
GIESWAPFORUS_2;我們已經成爲$FACTION$的傀儡。;;;;;;;;;;X
GIESWAPFORUS_3;$BOSS$已經在$CAPITAL$組建了一個忠誠的$GOVERNMENT$政府。;;;;;;;;;;X
GIESWAPFORUS_4;*;;;;;;;;;;X
GIESWAPFORUS_5;*;;;;;;;;;;X
GIESWAPFORUS_6;*;;;;;;;;;;X
GIESWAPFORUS_LOG;$BOSS$已經將我們變爲$FACTION$新的傀儡。;;;;;;;;;;X
GIESWAPFORUS_BTN1;好的;;;;;;;;;;X
GIESWAPFORUS_BTN2;好的;;;;;;;;;;X
GIESWAPFORUS_BTN3;查看;;;;;;;;;;X
GIESWAPFORUS_MAP;傀儡建立！;;;;;;;;;;X
support_attack_eff;補給進攻效率;;;;;;;;;;X
strategic_redeployment_eff;戰略部署效率;;;;;;;;;;X
move_order_eff;移動效率;;;;;;;;;;X
rebase_eff;海軍轉場效率;;;;;;;;;;X
reserves_eff;海軍後備效率;;;;;;;;;;X
patrol_eff;海軍巡邏效率;;;;;;;;;;X
intercept_eff;海軍攔截效率;;;;;;;;;;X
sortie_eff;海軍突擊效率;;;;;;;;;;X
convoy_escort_eff;護航運輸效率;;;;;;;;;;X
convoy_raid_eff;護航襲擊效率;;;;;;;;;;X
air_convoy_raid_eff;空軍護航襲擊效率;;;;;;;;;;X
transport_eff;運輸效率;;;;;;;;;;X
invasion_eff;侵入效率;;;;;;;;;;X
strategic_bomb_eff;戰略轟炸效率;;;;;;;;;;X
logistical_strike_eff;後勤打擊效率;;;;;;;;;;X
runway_cratering_eff;機場轟炸效率;;;;;;;;;;X
installation_strike_eff;營房襲擊效率;;;;;;;;;;X
ground_attack_eff;地面攻擊效率;;;;;;;;;;X
interdiction_eff;封鎖效率;;;;;;;;;;X
air_intercept_eff;空軍攔截效率;;;;;;;;;;X
carrier_protection_eff;航母護衛效率;;;;;;;;;;X
paradrop_mission_eff;空投效率;;;;;;;;;;X
port_strike_eff;港口襲擊效率;;;;;;;;;;X
naval_strike_eff;海軍突襲效率;;;;;;;;;;X
rebase_to_carrier_eff;航母轉場效率;;;;;;;;;;X
nuke_mission_eff;核武器效率;;;;;;;;;;X
transport_supplies_mission_eff;補給運輸效率;;;;;;;;;;X
rebase_air_eff;空軍轉場效率;;;;;;;;;;X
air_reserve_eff;空軍後備效率;;;;;;;;;;X
air_superiority_eff;空優效率;;;;;;;;;;X
join_fleet_eff;艦隊配合效率;;;;;;;;;;X
join_air_eff;空軍配合效率;;;;;;;;;;X
LEDGER_EXPERIENCE2;經驗;;;;;;;;;;X
MAJORDECISIONOTHER_SETUP;當他國執行了一個重大決議。;;;;;;;;;;X
MAJORDECISIONOTHER_HEADER;$foreign_minister$報告;;;;;;;;;;X
MAJORDECISIONOTHER_1;$COUNTRY$;;;;;;;;;;X
MAJORDECISIONOTHER_2;發生了;;;;;;;;;;X
MAJORDECISIONOTHER_3;$EVENT$！;;;;;;;;;;X
MAJORDECISIONOTHER_4;$DESC$;;;;;;;;;;X
MAJORDECISIONOTHER_5;*;;;;;;;;;;X
MAJORDECISIONOTHER_6;*;;;;;;;;;;X
MAJORDECISIONOTHER_LOG;$COUNTRY$的決議：$EVENT$。;;;;;;;;;;X
MAJORDECISIONOTHER_BTN1;好的;;;;;;;;;;X
MAJORDECISIONOTHER_BTN2;好的;;;;;;;;;;X
MAJORDECISIONOTHER_BTN3;*;;;;;;;;;;X
MAJORDECISIONOTHER_MAP;*;;;;;;;;;;X
HAVE_LESS_LEADERSHIP_THAN;擁有領導力少於;;;;;;;;;;X
HAVE_MORE_LEADERSHIP_THAN;擁有至少$VAL$領導力。\n;;;;;;;;;;X
PROV_LEADERSHIP;$DIRECTION$ $VALUE$ 領導力於 $WHERE$。\n;;;;;;;;;;X
MODIFIER_AIR_BUILD_SPEED;空軍建設時間;;;;;;;;;;X
MODIFIER_LAND_BUILD_SPEED;陸軍建設時間;;;;;;;;;;X
MODIFIER_ROCKET_BUILD_SPEED;火箭建設時間;;;;;;;;;;X
MODIFIER_TANK_BUILD_SPEED;裝甲建設時間;;;;;;;;;;X
MODIFIER_NAVAL_BUILD_SPEED;海軍建設時間;;;;;;;;;;X
MODIFIER_FUEL_CONVERSION;燃料轉化;;;;;;;;;;X
MODIFIER_TRICKLEBACK;傷亡恢復;;;;;;;;;;X
