xxxx;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Interface;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
LIBERATE_COUNTRY;解放國家;;;;;;;;;;x
CREATE_PUPPET;建立傀儡國;;;;;;;;;;x
POLITICAL_ORGANIZATION;組織度;;;;;;;;;;x
POLITICAL_POPULARITY;支持率;;;;;;;;;;x
RULING_IDEOLOGY;執政理念;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Minister Positions;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
head_of_state;國家元首;;;;;;;;;;x
head_of_government;政府首腦;;;;;;;;;;x
foreign_minister;外交部長;;;;;;;;;;x
armament_minister;軍械部長;;;;;;;;;;x
minister_of_security;安全部長;;;;;;;;;;x
minister_of_intelligence;情報部長;;;;;;;;;;x
chief_of_staff;總參謀長;;;;;;;;;;x
chief_of_army;陸軍總長;;;;;;;;;;x
chief_of_navy;海軍總長;;;;;;;;;;x
chief_of_air;空軍總長;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ideologies;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
national_socialist;國家社會主義;;;;;;;;;;x
fascistic;法西斯主義;;;;;;;;;;x
paternal_autocrat;獨裁主義;;;;;;;;;;x
social_conservative;社會保守主義;;;;;;;;;;x
market_liberal;貿易自由主義;;;;;;;;;;x
social_liberal;社會自由主義;;;;;;;;;;x
social_democrat;社會民主主義;;;;;;;;;;x
left_wing_radical;左翼激進主義;;;;;;;;;;x
leninist;列寧主義;;;;;;;;;;x
stalinist;斯大林主義;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Ministertypes;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
biased_intellectual;偏執知識份子;;;;;;;;;;x
ideological_crusader;意識型態的十字軍;;;;;;;;;;x
apologetic_clerk;謙卑的公務員;;;;;;;;;;x
iron_fisted_brute;殘忍的野獸;;;;;;;;;;x
great_compromiser;崇高的妥協者;;;;;;;;;;x
general_staffer;總參謀部幕僚;;;;;;;;;;x
the_cloak_n_dagger_schemer;陰謀家;;;;;;;;;;x
administrative_genius;行政天才;;;;;;;;;;x
resource_industrialist;資源工業家;;;;;;;;;;x
laissez_faires_capitalist;自由主義資本家;;;;;;;;;;x
theoretical_scientist;理論科學家;;;;;;;;;;x
military_entrepreneur;軍工企業家;;;;;;;;;;x
battle_fleet_proponent;艦隊支持者;;;;;;;;;;x
submarine_proponent;潛艇支持者;;;;;;;;;;x
tank_proponent;坦克支持者;;;;;;;;;;x
infantry_proponent;步兵支持者;;;;;;;;;;x
air_to_ground_proponent;空對地支持者;;;;;;;;;;x
air_to_sea_proponent;空對海支持者;;;;;;;;;;x
strategic_air_proponent;戰略空軍支持者;;;;;;;;;;x
silent_lawyer;沉默的律師;;;;;;;;;;x
compassionate_gentleman;慈悲的紳士;;;;;;;;;;x
crime_fighter;罪惡鬥士;;;;;;;;;;x
prince_of_terror;恐怖的巨頭;;;;;;;;;;x
back_stabber;幕後刺客;;;;;;;;;;x
man_of_the_people;人民代表;;;;;;;;;;x
efficient_sociopath;高效的反社會者;;;;;;;;;;x
technical_specialist;技術專家;;;;;;;;;;x
logistics_specialist;後勤專家;;;;;;;;;;x
political_specialist;政治專家;;;;;;;;;;x
dismal_enigma;陰沉的神祕客;;;;;;;;;;x
industrial_specialist;工業專家;;;;;;;;;;x 
naval_intelligence_specialist;海軍情報專家;;;;;;;;;;x
school_of_manoeuvre;機動作戰學派;;;;;;;;;;x
school_of_fire_support;火力支援學派;;;;;;;;;;x
school_of_mass_combat;人海戰術學派;;;;;;;;;;x
school_of_psychology;心理戰學派;;;;;;;;;;x
school_of_defence;防禦戰學派;;;;;;;;;;x
elastic_defence_doctrine;彈性防禦學說;;;;;;;;;;x
static_defence_doctrine;靜態防禦學說;;;;;;;;;;x
decisive_battle_doctrine;戰略決戰學說;;;;;;;;;;x
armoured_spearhead_doctrine;裝甲先鋒學說;;;;;;;;;;x
guns_and_butter_doctrine;軍事經濟並重學說;;;;;;;;;;x
open_seas_doctrine;軍事經濟並重學說;;;;;;;;;;x
decisive_naval_battle_doctrine;海軍戰略決戰學說;;;;;;;;;;x
power_projection_doctrine;戰力投放作戰學說;;;;;;;;;;x
indirect_approach_doctrine;迂迴接近學說;;;;;;;;;;x
base_control_doctrine;基地控制學說;;;;;;;;;;x
air_superiority_doctrine;空中優勢學說;;;;;;;;;;x
naval_aviation_doctrine;海軍航空兵學說;;;;;;;;;;x
army_aviation_doctrine;陸軍航空兵學說;;;;;;;;;;x
carpet_bombing_doctrine;地毯式轟炸學說;;;;;;;;;;x
vertical_envelopment_doctrine;垂直包圍學說;;;;;;;;;;x
undistinguished_suit;無特徵的人;;;;;;;;;;x
air_superiority_proponent;空中優勢支持者;;;;;;;;;;x
corrupt_kleptocrat;腐敗政客;;;;;;;;;;x
crooked_kleptocrat;坑蒙拐騙的政客;;;;;;;;;;x
